author_id;display;surnames
langmaier-konstantin-m;M, Langmaier Konstantin;langmaier
landolt-oliver;Oliver, Landolt;landolt|oliver
sieber-christian;Christian, Sieber;sieber|christian
bihrer-andreas;Andreas, Bihrer;bihrer|andreas
bosshard-werner;Werner, Bosshard;bosshard|werner
sutter-pascale;Pascale, Sutter;sutter|pascale
stettler-bernhard;Bernhard, Stettler;stettler|bernhard
jucker-michael;Michael, Jucker;jucker|michael
frey-stefan;Stefan, Frey;frey|stefan
illi-martin;Martin, Illi;illi|martin
rigendinger-fritz;Fritz, Rigendinger;rigendinger|fritz
speck-dieter;Dieter, Speck;speck|dieter
michael-jucker;Jucker, Michael;michael|jucker
zahnd-urs-martin;Martin, Zahnd Urs;zahnd|martin
niederhauser-peter;Peter, Niederhauser;niederhauser|peter
konstantin-m-langmaier;Langmaier, Konstantin;konstantin|langmaier
heinrich-speich;Speich, Heinrich;heinrich|speich
Bullinger, Tiguriner Chronik;Bullinger, tiguriner chronik;Bullinger, Tiguriner Chronik
Bernoulli, Basler Chronik;Bernoulli, basler chronik;Bernoulli, Basler Chronik
Tschudi, Chronicum Helveticum;Tschudi, chronicum helveticum;Tschudi, Chronicum Helveticum
