pdf_file;page;group;label;pattern;context
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;3;work;Schilling (Diebold Schilling, Berner/Luzerner Chronik);\bschilling\b;r Bevölkerung von Freienbach erlaubt, sich gegen einen Lohn von 5 Schilling pro Leiche, dem damals üblichen Totengräbertarif, an der Arbeit
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;4;work;Fründ (Hans Fründ);hans\s+fr[üu]nd;men, nämlich vom Schwyzer Landschreiber und «Chefpropagandisten» Hans Fründ. Fründ begleitete die Schwyzer Truppen in amtlicher Funktion übe
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;4;work;Fründ (Hans Fründ);\bfr[üu]nd\b;n, nämlich vom Schwyzer Landschreiber und «Chefpropagandisten» Hans Fründ. Fründ begleitete die Schwyzer Truppen in amtlicher Funktion über
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;4;work;Fründ (Hans Fründ);\bfr[üu]nd\b;ich vom Schwyzer Landschreiber und «Chefpropagandisten» Hans Fründ. Fründ begleitete die Schwyzer Truppen in amtlicher Funktion über weite S
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;4;work;Fründ (Hans Fründ);\bfr[üu]nd\b;.4 Für das erste Gefecht bei Freienbach am 22. Mai 1443 überliefert Fründ die Zahl von 40 getöteten Feinden, die man in eine Grube gelegt ha
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;4;work;Fründ (Hans Fründ);\bfr[üu]nd\b;n der Sihl vor Zürich, beim heutigen Stauffacher, am 22. Juli kommt Fründ auf mindestens 300 Tote, ermittelt durch Zählung der erbeuteten Ha
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;4;generic;Chronik/Chroniken;\bchronik(?:en)?\b;recken und führte dabei ein Kriegstagebuch, das er später zu einer Chronik umarbeitete.4 Für das erste Gefecht bei Freienbach am 22. Mai 144
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;5;work;Fründ (Hans Fründ);hans\s+fr[üu]nd;neten wie die Gegenseite.15 Dort erfasste wiederum Landschreiber Hans Fründ alle Schwyzer Toten mit Namen für ein grosses Schlachten- 67
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;5;work;Fründ (Hans Fründ);\bfr[üu]nd\b;nach der Schlacht bei Wollerau geborgenen 102 Toten findet sich bei Fründ und beruht auf einer Zählung der Leichen, wie sie auch in modernen
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;5;work;Fründ (Hans Fründ);\bfr[üu]nd\b;(rund 4000) und die Landschaft.11 Wie verlässlich aber sind die von Fründ genannten Zahlen, und weshalb fehlen entsprechend exakte Angaben v
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;5;work;Fründ (Hans Fründ);\bfr[üu]nd\b;reienbach ist exakt von 42 Toten die Rede, was mit den 40 Toten bei Fründ übereinstimmt. Die weitaus höheren Opferzahlen der Schlachten am H
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;5;work;Fründ (Hans Fründ);\bfr[üu]nd\b;ei. Auf dieser Grundlage lässt sich abschätzen, dass die Zahlen von Fründ nicht zu hoch gegriffen sind. Die Liste aus der Pfarrei Küsnacht n
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;5;work;Fründ (Hans Fründ);\bfr[üu]nd\b;ten wie die Gegenseite.15 Dort erfasste wiederum Landschreiber Hans Fründ alle Schwyzer Toten mit Namen für ein grosses Schlachten- 67
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;6;work;Fründ (Hans Fründ);\bfr[üu]nd\b;fecht bei Freienbach wissen wir, dass die 42 Toten nicht in der von Fründ erwähnten Grube blieben, sondern - ebenfalls mit offizieller Erlau
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;6;work;Fründ (Hans Fründ);\bfr[üu]nd\b;n Schlachten am Hirzel und bei St. Jakob an der Sihl. Landschreiber Fründ berichtet jedenfalls von Massengräbern, die er nach dem Krieg name
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;6;work;Bullinger (Heinrich Bullinger);heinrich\s+bullinger;chen auf, die man den Gefallenen von 1443 zuwies,22 und auch Heinrich Bullinger sah 1512 als achtjähriger Knabe in der Nähe seiner Heimatsta
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;6;work;Bullinger (Heinrich Bullinger);\bbullinger\b;auf, die man den Gefallenen von 1443 zuwies,22 und auch Heinrich Bullinger sah 1512 als achtjähriger Knabe in der Nähe seiner Heimatstadt B
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;8;work;Fründ (Hans Fründ);\bfr[üu]nd\b;iegsrat machen es deutlich, und selbst im Bericht von Landschreiber Fründ ist ein Unbehagen über die Hinrichtung spürbar. Traf die Strafe di
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;8;work;Fründ (Hans Fründ);\bfr[üu]nd\b;Verbot, Wohnhäuser von Wöchnerinnen anzuzünden. Auch Landschreiber Fründ schildert, wie er sich anlässlich der Belagerung von Greifensee pe
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;8;work;Fründ (Hans Fründ);\bfr[üu]nd\b;evölkerung. Es ist einmal mehr das Kriegstagebuch von Landschreiber Fründ, in dem wir diesbezüglich die aufschlussreichsten Schilderungen fi
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;8;work;Fründ (Hans Fründ);\bfr[üu]nd\b;chts mehr zu zerstören gibt, ziehen die Truppen weiter. So schreibt Fründ 70
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;8;work;Edlibach (Gerold Edlibach);gerold\s+edlibach;an der Hand, die um Gnade flehten, wie es der Zürcher Chronist Gerold Edlibach aufgrund von Augenzeugenberichten eindrücklich beschreibt.Am
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;8;work;Edlibach (Gerold Edlibach);\bedlibach\b;er Hand, die um Gnade flehten, wie es der Zürcher Chronist Gerold Edlibach aufgrund von Augenzeugenberichten eindrücklich beschreibt.Am Schl
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;8;generic;Chronist/Chronisten;\bchronist(?:en)?\b;ren Kindern an der Hand, die um Gnade flehten, wie es der Zürcher Chronist Gerold Edlibach aufgrund von Augenzeugenberichten eindrücklich be
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;9;work;Fründ (Hans Fründ);\bfr[üu]nd\b;r ainer sin bruoder, der ander sin sun, ainer sin wib und ander sin fründ vor der statt [Rapperswil] hat [...] und kament also alle tag frow
