pdf_file;page;group;label;pattern;context
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;3;generic;Chronik/Chroniken;\bchronik(?:en)?\b;"Vermittler ins Spiel; anhand der genauen Beschreibungen in zeitgendssischen Chroniken und der dort tiberlieferten Dokumente kann das Vorgehen des Bischofs und s"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;3;generic;Eydgenossenschaft/Helvetia (frühneuzeitl. Schreibungen);eidt?genossenschaft;Chur starker. Zugleich erwuchs den Bischéfen mit der sich formierenden Eidgenossenschaft ein neuer Gegner, insbesondere nach der Eroberung des Aargaus 1415, wo
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;3;generic;Schlacht-/Kriegserzählungen;\bkrieg(?:e|en)?\b;iessen sich weder durch Prozesse noch durch Gewalt, so im «Bischoff Hainrichs krieg»® von 1438-1441, einschiichtern. Eine Schliisselrolle bei der Auslésung des
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;4;work;Tschudi (Aegidius/Gilg Tschudi, Chronicon Helveticum);aegidi(?:us)?[\s \-]+tschudi;von der eidgendssischen als «der boeB frid» bezeichnet, auch wenn erst Aegidius Tschudi explizit den Bischof, der «Frieden sucht um jeden Preis», fiir das Sche
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;4;work;Tschudi (Aegidius/Gilg Tschudi, Chronicon Helveticum);\btschudi\b;der eidgendssischen als «der boeB frid» bezeichnet, auch wenn erst Aegidius Tschudi explizit den Bischof, der «Frieden sucht um jeden Preis», fiir das Scheiter
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;4;generic;Schlacht-/Kriegserzählungen;\bschlacht(?:en)?\b;an die eidgendssischen Heerscharen konnten der Hewener und seine Helfer die Schlacht bei St. Jakob an der Sihl nicht verhindern. Als allerdings Rapperswil einge
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;5;generic;Eydgenossenschaft/Helvetia (frühneuzeitl. Schreibungen);eidt?genossenschaft;tabtissin Anna, sympathisierten schon langer mit den Eidgenossen.*! Die Eidgenossenschaft war aus dem Alten Ziirichkrieg gefestigt hervorgegangen® und hatte ihr
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;8;generic;Chronik/Chroniken;\bchronik(?:en)?\b;rage zur Sozial- und Kulturgeschichte, Beromiinster 1976, 30 f., 316. 2 Vgl. Chronik des Gebhard Dacher, in: Das alte Konstanz in Schrift und Stift. Die Chronik
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;8;generic;Chronik/Chroniken;\bchronik(?:en)?\b;Chronik des Gebhard Dacher, in: Das alte Konstanz in Schrift und Stift. Die Chroniken der Stadt Konstanz, hg. von Philipp Ruppert, Konstanz 1891, 191-193. Der T
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;8;generic;Chronik/Chroniken;\bchronik(?:en)?\b;ectaneen (StadtA Konstanz,A 18), Bd. 1,fol. 140 r, gegen Constanzer Bisthums-Chronik von Christoph Schulthaiss, hg. von Johann Marmor, in: FDA 8 (1874), 1-102,
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;8;generic;Chronik/Chroniken;\bchronik(?:en)?\b;"9 r; Schulthaiss, Collectaneen (wie oben), fol. 140 r-141 1; Ders., Bisthums-Chronik (wie oben), 58-60; Gregor Mangolt: Konstanzer Stadtchronik, Redaktion B (ZB"
